index,name,category
1074,DX-StelDr2,-1
1075,SteelDrum1,-1
1076,SteelDrum2,-1
1077,Steel Band,-1
1078,Jamaica,-1
1079,Tambarin,-1
1080,Triangle 1,-1
1081,Triangle 2,-1
1082,BellGliss1,-1
1083,BellGliss2,-1
1084,Twincle,-1
1085,MetalBottl,-1
1086,NipponDrm1,-1
1087,NipponDrm2,-1
1088,Janpany,-1
1089,Nou,-1
1090,Sumoh Drum,-1
1091,HandBell 1,-1
1092,HandBell 2,-1
1093,JingleBell,-1
1094,Light Year,-1
1095,SlightBell,-1
1096,TracerBell,-1
1097,MM-SynDr 1,-1
1098,MM-SynDr 2,-1
1099,Click Kick,-1
1100,Hexagon,-1
1101,Whapit,-1
1102,Hi-Hat,-1
1103,Deep Snare,-1
1104,DX-MtlSnr,-1
1105,Snapie,-1
1106,Snare,-1
1107,Soft Head,-1
1108,StreetSD,-1
1109,Tom Herz,-1
1110,DX-RevCym1,-1
1111,DX-RevCym2,-1
1112,DX-Chorus1,-1
1113,DX-Chorus2,-1
1114,DX-Chorus3,-1
1115,DX-Chorus4,-1
1116,DX-Chorus5,-1
1117,DX-Chorus6,-1
1118,DX-Chorus7,-1
1119,DX-Chorus8,-1
1120,DX-Chorus9,-1
1121,DX-Voice 1,-1
1122,DX-Voice 2,-1
1123,MM-Voice 1,-1
1124,MM-Voice 2,-1
